James Harden\hardeja01;2018-19;29;HOU;78,0;15,2;78,0;36,8;10,8;24,5;6,0;11,3;4,8;13,2;9,7;11,0;6,6;7,5;2,0;0,7;5,0;3,1;36,1;0;0;0;0;0
Giannis Antetokounmpo\antetgi01;2018-19;24;MIL;72,0;14,4;72,0;32,8;10,0;17,3;9,3;14,5;0,7;2,8;6,9;9,5;12,5;5,9;1,3;1,5;3,7;3,2;27,7;1;0;0;0;0
Rudy Gobert\goberru01;2018-19;26;UTA;81,0;14,4;80,0;31,8;5,9;8,8;5,9;8,8;0,0;0,0;4,1;6,4;12,9;2,0;0,8;2,3;1,6;2,9;15,9;0;0;1;0;0
Damian Lillard\lillada01;2018-19;28;POR;80,0;12,1;80,0;35,5;8,5;19,2;5,6;11,1;3,0;8,0;5,9;6,4;4,6;6,9;1,1;0,4;2,7;1,9;25,8;0;0;0;0;0
Paul George\georgpa01;2018-19;28;OKC;77,0;11,9;77,0;36,9;9,2;21,0;5,4;11,1;3,8;9,8;5,9;7,0;8,2;4,1;2,2;0,4;2,7;2,8;28,0;0;0;0;0;0
Nikola Joki†\jokicni01;2018-19;23;DEN;80,0;11,8;80,0;31,3;7,7;15,1;6,7;11,7;1,0;3,4;3,6;4,4;10,8;7,3;1,4;0,7;3,1;2,9;20,1;0;0;0;0;0
Kevin Durant\duranke01;2018-19;30;GSW;78,0;11,5;78,0;34,6;9,2;17,7;7,5;12,8;1,8;5,0;5,7;6,5;6,4;5,9;0,7;1,1;2,9;2,0;26,0;0;0;0;0;0
Clint Capela\capelca01;2018-19;24;HOU;67,0;10,8;67,0;33,6;7,1;10,9;7,1;10,9;0,0;0,0;2,5;3,9;12,7;1,4;0,7;1,5;1,4;2,5;16,6;0;0;0;0;0
Karl-Anthony Towns\townska01;2018-19;23;MIN;77,0;10,4;77,0;33,1;8,8;17,1;7,0;12,5;1,8;4,6;4,9;5,8;12,4;3,4;0,9;1,6;3,1;3,8;24,4;0;0;0;0;0
Nikola VuŸevi†\vucevni01;2018-19;28;ORL;80,0;10,1;80,0;31,4;8,8;16,9;7,7;14,0;1,1;2,9;2,2;2,8;12,0;3,8;1,0;1,1;2,0;2,0;20,8;0;0;0;0;0
Andre Drummond\drumman01;2018-19;25;DET;79,0;10,0;79,0;33,5;7,1;13,3;7,0;12,8;0,1;0,5;3,1;5,2;15,6;1,4;1,7;1,7;2,2;3,4;17,3;0;0;0;0;0
Stephen Curry\curryst01;2018-19;30;GSW;69,0;9,7;69,0;33,8;9,2;19,4;4,0;7,7;5,1;11,7;3,8;4,2;5,3;5,2;1,3;0,4;2,8;2,4;27,3;0;0;0;0;0
Kawhi Leonard\leonaka01;2018-19;27;TOR;60,0;9,5;60,0;34,0;9,3;18,8;7,5;13,8;1,9;5,0;6,1;7,1;7,3;3,3;1,8;0,4;2,0;1,5;26,6;0;0;0;0;0
LaMarcus Aldridge\aldrila01;2018-19;33;SAS;81,0;9,3;81,0;33,2;8,4;16,3;8,3;15,8;0,1;0,5;4,3;5,1;9,2;2,4;0,5;1,3;1,8;2,2;21,3;0;0;0;0;0
Pascal Siakam\siakapa01;2018-19;24;TOR;80,0;9,3;79,0;31,9;6,5;11,8;5,5;9,1;1,0;2,7;3,0;3,8;6,9;3,1;0,9;0,7;1,9;3,0;16,9;0;0;0;0;1
Steven Adams\adamsst01;2018-19;25;OKC;80,0;9,1;80,0;33,4;6,0;10,1;6,0;10,1;0,0;0,0;1,8;3,7;9,5;1,6;1,5;1,0;1,7;2,6;13,9;0;0;0;0;0
Kyrie Irving\irvinky01;2018-19;26;BOS;67,0;9,1;67,0;33,0;9,0;18,5;6,4;12,0;2,6;6,5;3,2;3,7;5,0;6,9;1,5;0,5;2,6;2,5;23,8;0;0;0;0;0
Joel Embiid\embiijo01;2018-19;24;PHI;64,0;8,7;64,0;33,7;9,1;18,7;7,8;14,6;1,2;4,1;8,2;10,1;13,6;3,7;0,7;1,9;3,5;3,3;27,5;0;0;0;0;0
Montrezl Harrell\harremo01;2018-19;25;LAC;82,0;8,7;5,0;26,3;6,7;10,8;6,6;10,6;0,0;0,2;3,2;5,0;6,5;2,0;0,9;1,3;1,6;3,1;16,6;0;0;0;0;0
Eric Bledsoe\bledser01;2018-19;29;MIL;78,0;8,2;78,0;29,1;6,0;12,4;4,4;7,6;1,6;4,8;2,3;3,0;4,6;5,5;1,5;0,4;2,1;2,0;15,9;0;0;0;0;0
Danilo Gallinari\gallida01;2018-19;30;LAC;68,0;8,2;68,0;30,3;6,0;13,0;3,6;7,5;2,4;5,5;5,4;6,0;6,1;2,6;0,7;0,3;1,5;1,9;19,8;0;0;0;0;0
Ben Simmons\simmobe01;2018-19;22;PHI;79,0;8,2;79,0;34,2;6,8;12,2;6,8;12,1;0,0;0,1;3,3;5,4;8,8;7,7;1,4;0,8;3,5;2,6;16,9;0;0;0;0;0
Mike Conley\conlemi01;2018-19;31;MEM;70,0;8,0;70,0;33,5;7,0;16,0;4,8;9,9;2,2;6,1;4,9;5,8;3,4;6,4;1,3;0,3;1,9;1,8;21,1;0;0;0;0;0
Blake Griffin\griffbl01;2018-19;29;DET;75,0;8,0;75,0;35,0;8,3;17,9;5,7;10,9;2,5;7,0;5,5;7,3;7,5;5,4;0,7;0,4;3,4;2,7;24,5;0;0;0;0;0
Jimmy Butler\butleji01;2018-19;29;TOT;65,0;7,9;65,0;33,6;6,4;13,9;5,4;10,9;1,0;3,0;4,8;5,6;5,3;4,0;1,9;0,6;1,5;1,7;18,7;0;0;0;0;0
Derrick Favors\favorde01;2018-19;27;UTA;76,0;7,9;70,0;23,2;4,8;8,1;4,6;7,1;0,2;1,0;2,0;3,0;7,4;1,2;0,7;1,4;1,1;2,1;11,8;0;0;0;0;0
Jusuf Nurki†\nurkiju01;2018-19;24;POR;72,0;7,8;72,0;27,4;5,8;11,5;5,8;11,1;0,0;0,4;3,9;5,1;10,4;3,2;1,0;1,4;2,3;3,5;15,6;0;0;0;0;0
Jarrett Allen\allenja01;2018-19;20;BRK;80,0;7,6;80,0;26,2;4,2;7,1;4,1;6,5;0,1;0,6;2,5;3,5;8,4;1,4;0,5;1,5;1,3;2,3;10,9;0;0;0;0;0
Bradley Beal\bealbr01;2018-19;25;WAS;82,0;7,6;82,0;36,9;9,3;19,6;6,8;12,4;2,5;7,3;4,4;5,5;5,0;5,5;1,5;0,7;2,7;2,8;25,6;0;0;0;0;0
Domantas Sabonis\sabondo01;2018-19;22;IND;74,0;7,6;5,0;24,8;5,6;9,5;5,5;9,2;0,1;0,2;2,8;3,9;9,3;2,9;0,6;0,4;2,2;3,2;14,1;0;0;0;0;0
Al Horford\horfoal01;2018-19;32;BOS;68,0;7,5;68,0;29,0;5,7;10,6;4,6;7,6;1,1;3,0;1,1;1,4;6,7;4,2;0,9;1,3;1,5;1,9;13,6;0;0;0;0;0
Dwight Powell\poweldw01;2018-19;27;DAL;77,0;7,5;22,0;21,6;3,8;6,3;3,3;4,7;0,5;1,6;2,5;3,3;5,3;1,5;0,6;0,6;0,9;2,6;10,6;0;0;0;0;0
Kemba Walker\walkeke02;2018-19;28;CHO;82,0;7,4;82,0;34,9;8,9;20,5;5,7;11,6;3,2;8,9;4,6;5,5;4,4;5,9;1,2;0,4;2,6;1,6;25,6;0;0;0;0;0
Jerami Grant\grantje01;2018-19;24;OKC;80,0;7,3;77,0;32,7;5,1;10,3;3,7;6,6;1,4;3,7;2,0;2,8;5,2;1,0;0,8;1,3;0,8;2,7;13,6;0;0;0;0;0
Tobias Harris\harrito02;2018-19;26;TOT;82,0;7,1;82,0;34,7;7,5;15,3;5,5;10,5;1,9;4,8;3,2;3,7;7,9;2,8;0,6;0,5;1,8;2,2;20,0;0;0;0;0;0
DeAndre Jordan\jordade01;2018-19;30;TOT;69,0;7,1;69,0;29,7;4,1;6,5;4,1;6,5;0,0;0,0;2,7;3,8;13,1;2,3;0,6;1,1;2,2;2,4;11,0;0;0;0;0;0
D.J. Augustin\augusdj01;2018-19;31;ORL;81,0;6,9;81,0;28,0;3,9;8,4;2,3;4,5;1,6;3,8;2,2;2,6;2,5;5,3;0,6;0,0;1,6;1,4;11,7;0;0;0;0;0
Thaddeus Young\youngth01;2018-19;30;IND;81,0;6,9;81,0;30,7;5,5;10,4;4,8;8,6;0,6;1,8;1,1;1,7;6,5;2,5;1,5;0,4;1,5;2,4;12,6;0;0;0;0;0
Bam Adebayo\adebaba01;2018-19;21;MIA;82,0;6,8;28,0;23,3;3,4;5,9;3,4;5,7;0,0;0,2;2,0;2,8;7,3;2,2;0,9;0,8;1,5;2,5;8,9;0;0;0;0;0
Bojan Bogdanovi†\bogdabo02;2018-19;29;IND;81,0;6,8;81,0;31,8;6,4;13,0;4,4;8,2;2,0;4,8;3,0;3,8;4,1;2,0;0,9;0,0;1,7;1,7;18,0;0;0;0;0;0
Darren Collison\collida01;2018-19;31;IND;76,0;6,8;76,0;28,2;4,1;8,7;3,0;6,1;1,0;2,6;2,1;2,5;3,1;6,0;1,4;0,1;1,6;1,8;11,2;0;0;0;0;0
Russell Westbrook\westbru01;2018-19;30;OKC;73,0;6,8;73,0;36,0;8,6;20,2;7,0;14,5;1,6;5,6;4,1;6,2;11,1;10,7;1,9;0,5;4,5;3,4;22,9;0;0;0;0;0
Willie Cauley-Stein\caulewi01;2018-19;25;SAC;81,0;6,7;81,0;27,3;5,1;9,1;5,1;9,1;0,0;0,0;1,7;3,1;8,4;2,4;1,2;0,6;1,0;2,8;11,9;0;0;0;0;0
Brook Lopez\lopezbr01;2018-19;30;MIL;81,0;6,7;81,0;28,7;4,4;9,7;2,1;3,4;2,3;6,3;1,4;1,6;4,9;1,2;0,6;2,2;1,0;2,3;12,5;0;0;0;0;0
Kyle Lowry\lowryky01;2018-19;32;TOR;65,0;6,6;65,0;34,0;4,7;11,4;2,3;4,4;2,4;7,0;2,5;3,0;4,8;8,7;1,4;0,5;2,8;2,6;14,2;0;0;0;0;0
Malcolm Brogdon\brogdma01;2018-19;26;MIL;64,0;6,5;64,0;28,6;5,9;11,7;4,3;7,9;1,6;3,8;2,2;2,4;4,5;3,2;0,7;0,2;1,4;1,6;15,6;0;0;0;0;0
DeMar DeRozan\derozde01;2018-19;29;SAS;77,0;6,3;77,0;34,9;8,2;17,1;8,1;16,5;0,1;0,6;4,8;5,7;6,0;6,2;1,1;0,5;2,6;2,3;21,2;0;0;0;0;0
Myles Turner\turnemy01;2018-19;22;IND;74,0;6,3;74,0;28,6;5,1;10,5;4,1;7,9;1,0;2,6;2,0;2,7;7,2;1,6;0,8;2,7;1,4;2,6;13,3;0;0;0;0;0
Hassan Whiteside\whiteha01;2018-19;29;MIA;72,0;6,3;53,0;23,3;5,4;9,4;5,4;9,2;0,0;0,2;1,5;3,4;11,3;0,8;0,6;1,9;1,3;2,7;12,3;0;0;0;0;0
Monte Morris\morrimo01;2018-19;23;DEN;82,0;6,2;6,0;24,0;4,2;8,6;3,1;5,8;1,1;2,8;0,8;1,0;2,4;3,6;0,9;0,0;0,6;1,2;10,4;0;0;0;0;0
Serge Ibaka\ibakase01;2018-19;29;TOR;74,0;6,1;51,0;27,2;6,3;11,9;5,6;9,6;0,7;2,3;1,8;2,4;8,1;1,3;0,4;1,4;1,5;2,9;15,0;0;0;0;0;0
Khris Middleton\middlkh01;2018-19;27;MIL;77,0;6,1;77,0;31,1;6,6;14,9;4,2;8,8;2,3;6,2;2,8;3,4;6,0;4,3;1,0;0,1;2,3;2,2;18,3;0;0;0;0;0
Paul Millsap\millspa01;2018-19;33;DEN;70,0;6,1;65,0;27,1;4,6;9,5;3,8;7,2;0,8;2,3;2,6;3,6;7,2;2,0;1,2;0,8;1,4;2,6;12,6;0;0;0;0;0
Julius Randle\randlju01;2018-19;24;NOP;73,0;6,1;49,0;30,6;7,8;14,9;6,9;12,2;0,9;2,7;4,9;6,7;8,7;3,1;0,7;0,6;2,8;3,4;21,4;0;0;0;0;0
Mitchell Robinson\robinmi01;2018-19;20;NYK;66,0;6,1;19,0;20,6;3,1;4,4;3,1;4,4;0,0;0,0;1,2;2,0;6,4;0,6;0,8;2,4;0,5;3,3;7,3;0;0;0;0;0
John Collins\collijo01;2018-19;21;ATL;61,0;6,0;59,0;30,0;7,6;13,6;6,7;11,0;0,9;2,6;3,3;4,4;9,8;2,0;0,4;0,6;2,0;3,3;19,5;0;0;0;0;0
Marc Gasol\gasolma01;2018-19;34;TOT;79,0;6,0;72,0;30,8;4,9;11,0;3,7;7,6;1,3;3,5;2,4;3,2;7,9;4,4;1,1;1,1;2,0;2,7;13,6;0;0;0;0;0
Joe Ingles\inglejo01;2018-19;31;UTA;82,0;6,0;82,0;31,3;4,4;9,8;2,1;3,9;2,3;5,9;1,1;1,5;4,0;5,7;1,2;0,2;2,4;2,2;12,1;0;0;0;0;0
Kevon Looney\looneke01;2018-19;22;GSW;80,0;6,0;24,0;18,5;2,7;4,3;2,7;4,2;0,0;0,1;0,8;1,3;5,2;1,5;0,6;0,7;0,6;2,6;6,3;0;0;0;0;0
Danny Green\greenda02;2018-19;31;TOR;80,0;5,9;80,0;27,7;3,7;7,9;1,2;2,4;2,5;5,4;0,5;0,6;4,0;1,6;0,9;0,7;0,9;2,1;10,3;0;0;0;0;0
Buddy Hield\hieldbu01;2018-19;26;SAC;82,0;5,9;82,0;31,9;7,6;16,6;4,2;8,6;3,4;7,9;2,1;2,4;5,0;2,5;0,7;0,4;1,8;2,5;20,7;0;0;0;0;0
JaVale McGee\mcgeeja01;2018-19;31;LAL;75,0;5,9;62,0;22,3;5,3;8,5;5,3;8,4;0,0;0,2;1,3;2,0;7,5;0,7;0,6;2,0;1,4;2,8;12,0;0;0;0;0;0
J.J. Redick\redicjj01;2018-19;34;PHI;76,0;5,9;63,0;31,3;5,9;13,5;2,8;5,6;3,2;8,0;3,0;3,4;2,4;2,7;0,4;0,2;1,3;1,7;18,1;0;0;0;0;0
Al-Farouq Aminu\aminual01;2018-19;28;POR;81,0;5,8;81,0;28,3;3,2;7,3;2,0;3,9;1,2;3,5;1,9;2,1;7,5;1,3;0,8;0,4;0,9;1,8;9,4;0;0;0;0;0
Deandre Ayton\aytonde01;2018-19;20;PHO;71,0;5,8;70,0;30,7;7,2;12,3;7,2;12,2;0,0;0,1;2,0;2,7;10,3;1,8;0,9;0,9;1,8;2,9;16,3;0;0;0;0;0
Mason Plumlee\plumlma01;2018-19;28;DEN;82,0;5,8;17,0;21,1;3,2;5,4;3,2;5,3;0,0;0,1;1,4;2,4;6,4;3,0;0,8;0,9;1,5;3,1;7,8;0;0;0;0;0
Ed Davis\davised01;2018-19;29;BRK;81,0;5,7;1,0;17,9;2,3;3,7;2,3;3,7;0,0;0,0;1,2;2,0;8,6;0,8;0,4;0,4;0,8;2,8;5,8;0;0;0;0;0
Thomas Bryant\bryanth01;2018-19;21;WAS;72,0;5,6;53,0;20,8;4,3;7,0;3,8;5,6;0,5;1,4;1,5;1,9;6,3;1,3;0,3;0,9;0,8;1,8;10,5;0;0;0;0;0
De'Aaron Fox\foxde01;2018-19;21;SAC;81,0;5,6;81,0;31,4;6,2;13,6;5,2;10,7;1,1;2,9;3,7;5,1;3,8;7,3;1,6;0,6;2,8;2,5;17,3;0;0;0;0;0
CJ McCollum\mccolcj01;2018-19;27;POR;70,0;5,6;70,0;33,9;8,2;17,8;5,8;11,4;2,4;6,4;2,3;2,7;4,0;3,0;0,8;0,4;1,5;2,5;21,0;0;0;0;0;0
Josh Richardson\richajo01;2018-19;25;MIA;73,0;5,6;73,0;34,8;5,8;14,1;3,5;7,8;2,2;6,3;2,7;3,2;3,6;4,1;1,1;0,5;1,5;2,7;16,6;0;0;0;0;0
Joe Harris\harrijo01;2018-19;27;BRK;76,0;5,5;76,0;30,2;4,9;9,8;2,5;4,8;2,4;5,1;1,4;1,8;3,8;2,4;0,5;0,2;1,6;2,4;13,7;0;0;0;0;0
Jrue Holiday\holidjr01;2018-19;28;NOP;67,0;5,4;67,0;35,9;8,2;17,3;6,4;11,9;1,8;5,4;3,1;4,0;5,0;7,7;1,6;0,8;3,1;2,2;21,2;0;0;0;0;0
Enes Kanter\kanteen01;2018-19;26;TOT;67,0;5,4;31,0;24,5;5,6;10,2;5,4;9,7;0,1;0,5;2,3;2,9;9,8;1,7;0,5;0,4;1,8;2,5;13,7;0;0;0;0;0
Jeremy Lamb\lambje01;2018-19;26;CHO;79,0;5,3;55,0;28,5;5,5;12,4;4,0;8,2;1,5;4,2;2,9;3,3;5,5;2,2;1,1;0,4;1,0;1,8;15,3;0;0;0;0;0
Marcus Smart\smartma01;2018-19;24;BOS;80,0;5,3;60,0;27,5;3,0;7,1;1,4;2,8;1,6;4,3;1,3;1,6;2,9;4,0;1,8;0,4;1,5;2,5;8,9;0;0;0;0;0
Klay Thompson\thompkl01;2018-19;28;GSW;78,0;5,3;78,0;34,0;8,4;18,0;5,3;10,3;3,1;7,7;1,7;2,0;3,8;2,4;1,1;0,6;1,5;2,0;21,5;0;0;0;0;0
Taj Gibson\gibsota01;2018-19;33;MIN;70,0;5,1;57,0;24,1;4,3;7,7;4,2;7,2;0,2;0,5;1,9;2,5;6,5;1,2;0,8;0,6;1,0;2,7;10,8;0;0;0;0;0
